Index#,Universidades,NSE,Prefieres que tu cuenta sea Privada o Pública ,Que redes sociales utilizas más (siendo 1 el principal) [Instagram],Que redes sociales utilizas más (siendo 1 el principal) [Facebook],Que redes sociales utilizas más (siendo 1 el principal) [Whatsapp],Que redes sociales utilizas más (siendo 1 el principal) [Twitter],Que redes sociales utilizas más (siendo 1 el principal) [YouTube],Qué tipo de contenido es el que más consumes dentro de redes sociales. [Memes],Qué tipo de contenido es el que más consumes dentro de redes sociales. [Noticias],Qué tipo de contenido es el que más consumes dentro de redes sociales. [Deportes],Qué tipo de contenido es el que más consumes dentro de redes sociales. [Motivación Personal],Qué tipo de contenido es el que más consumes dentro de redes sociales. [Preferencia Gastronómica],Qué tipo de contenido es el que más consumes dentro de redes sociales. [Mascotas],Qué tipo de contenido es el que más consumes dentro de redes sociales. [Intereses Ambientales],Cuántas horas al día utilizas las redes sociales    ,Por qué utilizas las redes sociales [Distracción],Por qué utilizas las redes sociales [Pasatiempo],Por qué utilizas las redes sociales [Trabajo],Qué inclinación tienes al momento de seguir influencers [Deportes],Qué inclinación tienes al momento de seguir influencers [Política],Qué inclinación tienes al momento de seguir influencers [Farándula],Qué inclinación tienes al momento de seguir influencers [Música],Generas contenido en las redes sociales?,Que tipo de contenido generan dentro de las redes sociales [Crean memes?],Que tipo de contenido generan dentro de las redes sociales [Crean noticias?],Que tipo de contenido generan dentro de las redes sociales [Generan noticias de ayuda social?],Que tipo de contenido generan dentro de las redes sociales [Generas frases de empoderamiento de motivación personal?],Que tipo de contenido generan dentro de las redes sociales [Información personal],Utilizan jergas dentro de sus publicaciones ,Que tipo de jergas utilizan [Lampara],Que tipo de jergas utilizan [Bacán],Que tipo de jergas utilizan [Pilas],Que tipo de jergas utilizan [Broder],Que tipo de jergas utilizan [Dale],Que tipo de jergas utilizan [Posi],Que tipo de jergas utilizan [Que trip],Que tipo de contenido comparten dentro de las redes [Noticias],Que tipo de contenido comparten dentro de las redes [Memes],Que tipo de contenido comparten dentro de las redes [Comida],Que tipo de contenido comparten dentro de las redes [Ambiental],Que tipo de contenido comparten dentro de las redes [Mascotas],Que tipo de contenido comparten dentro de las redes [Deportes],Que tipo de contenido comparten dentro de las redes [Académico]
0,Blue hill ,alto,Privada,1,4,2,5,3,1,4,2,5,6,3,7,3-6,1,2,3,1,4,3,2,Si,2.0,3.0,4.0,5.0,1.0,Si,1.0,3.0,2.0,4.0,6.0,7.0,5.0,3,1,4,6,5,2,7
1,Blue hill ,alto,Privada,1,4,2,5,3,1,4,2,5,6,3,7,3-6,1,2,3,1,4,3,2,Si,2.0,3.0,4.0,5.0,1.0,Si,1.0,3.0,2.0,4.0,6.0,7.0,5.0,3,1,4,6,5,2,7
2,ECOTEC,medio,Privada,1,1,1,1,1,3,3,1,5,6,7,7,3-6,1,1,2,1,4,2,4,Si,5.0,4.0,3.0,4.0,2.0,Si,5.0,2.0,1.0,4.0,1.0,2.0,3.0,3,2,5,7,7,3,3
3,ECOTEC,medio,Privada,4,4,4,4,4,4,4,2,4,4,4,2,1-3,3,3,3,4,2,3,3,Si,4.0,4.0,5.0,5.0,3.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,4,2,4,4,2
4,ECOTEC,medio,Privada,1,2,1,4,2,1,5,7,3,5,3,7,6+,1,1,2,4,4,4,4,Si,5.0,5.0,5.0,5.0,1.0,Si,7.0,1.0,1.0,7.0,7.0,1.0,7.0,3,3,3,3,3,3,4
5,ECOTEC ,medio,Privada,2,3,1,2,3,2,1,3,2,1,3,2,6+,1,2,1,2,2,1,1,Si,0.0,0.0,1.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,1,3,2,2
6,ECOTEC ,medio,Privada,4,3,5,5,3,2,5,6,3,4,2,5,3-6,2,1,2,4,4,1,3,No,0.0,0.0,0.0,0.0,5.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,1,2,1,6,5
7,ESPAM,medio,Privada,3,4,3,1,3,4,4,2,3,3,1,2,3-6,2,2,2,2,4,3,4,Si,0.0,0.0,3.0,3.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,4,2,1,1,4
8,ESPAM,medio,Privada,3,4,1,5,2,3,2,7,1,4,5,6,3-6,1,3,2,4,2,3,1,No,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,6,3,5,7,2
9,ESPOL,bajo,Publica,1,1,1,3,3,1,1,3,3,3,2,3,3-6,1,1,1,3,2,3,2,No,1.0,1.0,1.0,1.0,1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,3,3,3,3,1
10,ESPOL,bajo,Publica,5,5,5,2,3,1,1,1,1,1,1,1,1-3,3,3,3,2,1,2,3,No,1.0,1.0,1.0,1.0,1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,7,1
11,ESPOL,bajo,Publica,2,2,1,4,1,4,1,1,1,1,1,5,6+,2,1,2,1,2,2,2,Si,3.0,1.0,3.0,2.0,2.0,Si,2.0,2.0,2.0,4.0,1.0,6.0,1.0,2,4,1,2,3,1,2
12,ESPOL,bajo,Publica,2,4,5,1,2,5,7,1,6,3,1,3,3-6,2,1,3,1,1,1,1,No,0.0,0.0,2.0,0.0,4.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,4,3,1,3,5
13,ESPOL,bajo,Pública,3,2,1,4,5,2,1,3,4,5,6,7,3-6,1,2,3,1,2,4,3,No,2.0,1.0,3.0,5.0,4.0,Si,4.0,1.0,2.0,3.0,6.0,5.0,7.0,4,1,2,7,3,5,6
14,ESPOL,bajo,Publica,4,3,2,1,5,3,2,1,5,4,6,7,1-3,1,2,3,2,1,3,4,No,3.0,1.0,4.0,5.0,2.0,No,4.0,2.0,3.0,1.0,5.0,6.0,7.0,1,2,3,5,4,6,7
15,ESPOL,bajo,Pública,4,2,1,1,2,1,2,3,2,3,4,4,1-3,1,2,2,1,1,3,2,No,5.0,5.0,5.0,5.0,5.0,Si,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2,1,2,1,2,1
16,ESPOL,bajo,Publica,2,3,1,4,5,7,1,6,5,2,4,3,1-3,2,3,1,4,3,2,1,Si,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,3,4,5,6,2
17,ESPOL,bajo,Publica,2,3,1,3,2,1,2,1,1,2,2,2,1-3,2,1,1,1,3,3,1,No,2.0,2.0,2.0,2.0,1.0,Si,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2,1,2,2,1,1,1
18,ESPOL,bajo,Publica,1,2,1,3,2,1,7,4,2,3,3,3,3-6,2,1,3,2,3,3,1,No,1.0,3.0,4.0,2.0,3.0,Si,7.0,6.0,4.0,3.0,2.0,1.0,5.0,5,1,4,3,2,6,7
19,ESPOL,bajo,Publica,1,2,1,2,1,1,3,3,3,3,2,3,3-6,1,1,3,2,3,1,1,No,4.0,3.0,4.0,4.0,4.0,Si,1.0,3.0,1.0,6.0,7.0,7.0,4.0,2,1,2,3,2,3,2
20,ESPOL,bajo,Publica,1,1,1,2,1,1,1,1,1,1,1,1,6+,1,1,2,1,1,2,1,No,5.0,5.0,5.0,5.0,5.0,Si,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,1,3,1
21,ESPOL,bajo,Pública,1,2,1,1,2,2,2,2,2,2,3,2,1-3,2,2,1,2,1,3,2,Si,3.0,1.0,1.0,1.0,2.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,3,2,3,3,1
22,ESPOL,bajo,Publica,2,3,1,5,4,1,1,3,1,1,2,2,1-3,1,2,3,4,2,1,2,No,2.0,2.0,2.0,2.0,2.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,4,3,6,4
23,ESPOL,bajo,Publica,1,1,1,2,3,1,2,3,2,2,2,2,6+,1,1,1,3,3,1,1,Si,5.0,0.0,2.0,2.0,1.0,Si,1.0,7.0,1.0,1.0,1.0,1.0,3.0,2,1,2,2,2,2,2
24,ESPOL,bajo,Publica,1,3,1,3,1,3,2,2,1,3,2,2,3-6,2,2,3,1,3,3,3,No,1.0,2.0,2.0,1.0,2.0,Si,1.0,7.0,1.0,7.0,2.0,3.0,7.0,2,7,2,3,2,1,2
25,ESPOL,bajo,Publica,2,4,1,3,4,3,3,2,1,4,4,4,3-6,1,2,3,1,2,4,3,Si,4.0,4.0,3.0,1.0,2.0,No,4.0,5.0,6.0,6.0,6.0,6.0,6.0,3,4,3,4,4,1,2
26,ESPOL,bajo,Publica,5,1,5,1,5,1,7,1,2,6,7,6,6+,1,1,3,1,1,1,3,No,1.0,1.0,1.0,1.0,2.0,No,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1,3,3,3,1,3
27,ESPOL,bajo,Publica,5,3,4,4,4,3,3,3,3,3,3,3,1-3,3,2,2,3,3,3,3,Si,2.0,2.0,2.0,2.0,2.0,Si,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3
28,ESPOL,bajo,Publica,4,2,3,1,3,7,5,2,3,2,4,1,3-6,3,2,1,2,1,4,3,Si,0.0,0.0,5.0,4.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,7,6,5,7,4,6
29,ESPOL,bajo,Publica,1,3,1,5,2,3,1,3,1,1,1,1,3-6,1,1,3,4,1,1,1,No,5.0,5.0,5.0,5.0,1.0,No,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,7,1,2,1,7,1
30,ESPOL,bajo,Publica,3,4,1,5,2,3,2,1,7,6,5,4,1-3,1,2,3,1,3,4,2,No,1.0,2.0,3.0,4.0,5.0,Si,2.0,3.0,3.0,4.0,5.0,2.0,1.0,5,5,5,4,3,2,1
31,ESPOL,bajo,Publica,2,2,1,5,4,1,1,1,1,1,1,1,3-6,1,1,1,1,1,1,1,Si,0.0,0.0,0.0,0.0,0.0,No,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1,1,1,1,1,1
32,ESPOL,bajo,Publica,4,1,1,4,2,3,1,1,3,3,3,3,1-3,2,2,2,1,1,4,2,No,1.0,1.0,2.0,2.0,2.0,Si,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,3,3,3,3,3
33,ESPOL,bajo,Publica,5,4,5,3,3,7,7,1,4,5,1,1,3-6,3,3,1,1,1,1,1,No,1.0,1.0,1.0,1.0,1.0,No,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1
34,ESPOL,bajo,Pública,1,2,2,3,2,3,1,3,1,3,3,3,6+,2,1,3,3,3,2,1,No,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,3,3,3,3,1
35,ESPOL,bajo,Pública,2,2,1,2,1,2,2,1,3,2,3,2,3-6,1,2,3,2,3,3,2,No,3.0,3.0,3.0,3.0,3.0,Si,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3,2,2,2,3,2,3
36,ESPOL,bajo,Publica,1,1,1,2,1,1,1,3,1,3,3,3,3-6,3,3,3,2,4,4,4,No,3.0,3.0,3.0,3.0,3.0,No,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3,3,1,1,1,1,3
37,ESPOL,bajo,Publica,1,2,1,3,3,1,1,3,2,3,2,2,1-3,2,2,1,1,2,2,1,No,1.0,1.0,1.0,2.0,2.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,2,1,2,1
38,ESPOL,bajo,Publica,1,2,1,4,2,1,2,3,4,3,2,1,3-6,1,1,1,4,4,4,3,No,5.0,4.0,4.0,4.0,3.0,No,5.0,5.0,5.0,5.0,2.0,5.0,5.0,2,1,1,1,1,2,2
39,ESPOL,bajo,Publica,2,1,3,3,3,2,2,2,1,1,2,2,3-6,1,2,3,2,1,3,2,No,5.0,1.0,1.0,1.0,5.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,2,3,3,1
